lat,lng,Place,Country,Language,Year,Translator,img,Title,Publisher,Address,Comments
51.4090823187,19.6903042695,Piotrków Trybunalski,Poland,Polish,1880-81,Emilia Dobrzańska,https://raw.githubusercontent.com/digitalkoine/polish_storymap/main/polish/1880_81%20Dobrzanska.jpg,Janina. Powieść z angielskiego (Janina. A Novel from the English),Tydzien (weekly),Słowackiego 11 (Original address Dom Michelsona. Petersburska 11). Piotrków Trybunalski. Poland,Abridged; published in instalments 1880-81
50.1334632565,19.4162961984,Chrzanów,Poland,Polish,1921,Zofia Sawicka,https://raw.githubusercontent.com/digitalkoine/polish_storymap/main/polish/1921%20Sawicka.jpg,Sierota z Lowood. Powieść z angielskiego z kolorowanemi obrazkami (An Orphan from Lowood. A Novel from the English with Coloured Pictures),Ksiegarnia i Drukarnia Związkowa w Chrzanowie,Główna 8/10. Chrzanów. Poland (Original address E. Bartels. B-Weissensee. Generalstrasse 8/10. Chrzanów. Poland (NB before 1918 Chrzanów was in the Austrian partition. hence the German name of the street that still wasn't changed in the official address 3 years later.)),Abridged; 'juvenile audience'
52.4076496247,16.9281789561,Poznań,Poland,Polish,1930,Teresa Świderska,https://raw.githubusercontent.com/digitalkoine/polish_storymap/main/polish/1930%20Swiderska.jpg,Dziwne losy Jane Eyre (Strange Fortunes of Jane Eyre),Księgarnia św. Wojciecha ,Plac Wolności 1. Poznań. Poland,The canonical version. later re-edited and reprinted by the state press
52.2335739921,21.0208781561,Warszawa,Poland,Polish,1971,Teresa Świderska,https://raw.githubusercontent.com/digitalkoine/polish_storymap/main/polish/1971%20Swiderska.jpg,Dziwne losy Jane Eyre (Strange Fortunes of Jane Eyre),Państwowy Instytut Wydawniczy (PIW),Foksal 17. Warszawa. Poland,A new edition of Świderska's 1930 translation
52.2335739921,21.0208781561,Warszawa,Poland,Polish,1974,Teresa Świderska,https://raw.githubusercontent.com/digitalkoine/polish_storymap/main/polish/1974%20Swiderska.jpg,Dziwne losy Jane Eyre (Strange Fortunes of Jane Eyre),Państwowy Instytut Wydawniczy (PIW),Foksal 17. Warszawa. Poland,A new edition of Świderska's 1930 translation
52.187531923,21.0040462984,Warszawa,Poland,Polish,2004,Teresa Świderska,https://raw.githubusercontent.com/digitalkoine/polish_storymap/main/polish/2004%20Swiderska.jpg,Dziwne losy Jane Eyre (Strange Fortunes of Jane Eyre),Prószyński i S-ka,Garażowa 7. Warszawa. Poland,A new edition of Świderska's 1930 translation
52.231613593,21.0151852272,Warszawa,Poland,Polish,2006,Emilia Dobrzańska,https://raw.githubusercontent.com/digitalkoine/polish_storymap/main/polish/2006%20Dobrzanska.png,Dziwne losy Jane Eyre (Strange Fortunes of Jane Eyre),Hachette Livre Polska,Widok 8. Warszawa. Poland,A heavily edited version of Dobrzańska's 1880-1881 translation
50.0284286562,19.9353037272,Kraków,Poland,Polish,2007,Gabriela Jaworska,https://raw.githubusercontent.com/digitalkoine/polish_storymap/main/polish/2007%20Jaworska.jpg,Jane Eyre,Zielona Sowa,Cegelniana 4A. Kraków. Poland,
